id,line,station,line_name
1,1,Бульвар Рокоссовского,Сокольническая линия
2,1,Черкизовская,Сокольническая линия
3,1,Преображенская площадь,Сокольническая линия
4,1,Сокольники,Сокольническая линия
5,1,Красносельская,Сокольническая линия
6,1,Комсомольская,Сокольническая линия
7,1,Красные Ворота,Сокольническая линия
8,1,Чистые пруды,Сокольническая линия
9,1,Лубянка,Сокольническая линия
10,1,Охотный Ряд,Сокольническая линия
11,1,Библиотека имени Ленина,Сокольническая линия
12,1,Кропоткинская,Сокольническая линия
13,1,Парк культуры,Сокольническая линия
14,1,Фрунзенская,Сокольническая линия
15,1,Спортивная,Сокольническая линия
16,1,Воробьёвы горы,Сокольническая линия
17,1,Университет,Сокольническая линия
18,1,Проспект Вернадского,Сокольническая линия
19,1,Юго-Западная,Сокольническая линия
20,2,Речной вокзал,Замоскворецкая линия
21,2,Водный стадион,Замоскворецкая линия
22,2,Войковская,Замоскворецкая линия
23,2,Сокол,Замоскворецкая линия
24,2,Аэропорт,Замоскворецкая линия
25,2,Динамо,Замоскворецкая линия
26,2,Белорусская,Замоскворецкая линия
27,2,Маяковская,Замоскворецкая линия
28,2,Тверская,Замоскворецкая линия
29,2,Театральная,Замоскворецкая линия
30,2,Новокузнецкая,Замоскворецкая линия
31,2,Павелецкая,Замоскворецкая линия
32,2,Автозаводская,Замоскворецкая линия
33,2,Коломенская,Замоскворецкая линия
34,2,Каширская,Замоскворецкая линия
35,2,Кантемировская,Замоскворецкая линия
36,2,Царицыно,Замоскворецкая линия
37,2,Орехово,Замоскворецкая линия
38,2,Домодедовская,Замоскворецкая линия
39,2,Красногвардейская,Замоскворецкая линия
40,3,Щёлковская,Арбатско-Покровская линия
41,3,Первомайская,Арбатско-Покровская линия
42,3,Измайловская,Арбатско-Покровская линия
43,3,Партизанская,Арбатско-Покровская линия
44,3,Семёновская,Арбатско-Покровская линия
45,3,Электрозаводская,Арбатско-Покровская линия
46,3,Бауманская,Арбатско-Покровская линия
47,3,Курская,Арбатско-Покровская линия
48,3,Площадь Революции,Арбатско-Покровская линия
49,3,Арбатская,Арбатско-Покровская линия
50,3,Смоленская,Арбатско-Покровская линия
51,3,Киевская,Арбатско-Покровская линия
52,3,Парк Победы,Арбатско-Покровская линия
53,3,Славянский бульвар,Арбатско-Покровская линия
54,3,Кунцевская,Арбатско-Покровская линия
55,3,Молодёжная,Арбатско-Покровская линия
56,3,Крылатское,Арбатско-Покровская линия
57,3,Строгино,Арбатско-Покровская линия
58,4,Кунцевская,Филевская линия
59,4,Пионерская,Филевская линия
60,4,Филёвский парк,Филевская линия
61,4,Багратионовская,Филевская линия
62,4,Фили,Филевская линия
63,4,Кутузовская,Филевская линия
64,4,Студенческая,Филевская линия
65,4,Киевская,Филевская линия
66,4,Смоленская,Филевская линия
67,4,Арбатская,Филевская линия
68,4,Александровский сад,Филевская линия
69,4,Выставочная,Филевская линия
70,4,Международная,Филевская линия
71,5,Парк культуры,Кольцевая линия
72,5,Октябрьская,Кольцевая линия
73,5,Добрынинская,Кольцевая линия
74,5,Павелецкая,Кольцевая линия
75,5,Таганская,Кольцевая линия
76,5,Курская,Кольцевая линия
77,5,Комсомольская,Кольцевая линия
78,5,Проспект Мира,Кольцевая линия
79,5,Новослободская,Кольцевая линия
80,5,Белорусская,Кольцевая линия
81,5,Краснопресненская,Кольцевая линия
82,5,Киевская,Кольцевая линия
83,6,Медведково,Калужско-Рижская линия
84,6,Бабушкинская,Калужско-Рижская линия
85,6,Свиблово,Калужско-Рижская линия
86,6,Ботанический сад,Калужско-Рижская линия
87,6,ВДНХ,Калужско-Рижская линия
88,6,Алексеевская,Калужско-Рижская линия
89,6,Рижская,Калужско-Рижская линия
90,6,Проспект Мира,Калужско-Рижская линия
91,6,Сухаревская,Калужско-Рижская линия
92,6,Тургеневская,Калужско-Рижская линия
93,6,Китай-город,Калужско-Рижская линия
94,6,Третьяковская,Калужско-Рижская линия
95,6,Октябрьская,Калужско-Рижская линия
96,6,Шаболовская,Калужско-Рижская линия
97,6,Ленинский проспект,Калужско-Рижская линия
98,6,Академическая,Калужско-Рижская линия
99,6,Профсоюзная,Калужско-Рижская линия
100,6,Новые Черёмушки,Калужско-Рижская линия
101,6,Калужская,Калужско-Рижская линия
102,6,Беляево,Калужско-Рижская линия
103,6,Коньково,Калужско-Рижская линия
104,6,Тёплый Стан,Калужско-Рижская линия
105,6,Ясенево,Калужско-Рижская линия
106,6,Новоясеневская,Калужско-Рижская линия
107,7,Планерная,Таганско-Краснопресненская линия
108,7,Сходненская,Таганско-Краснопресненская линия
109,7,Тушинская,Таганско-Краснопресненская линия
110,7,Щукинская,Таганско-Краснопресненская линия
111,7,Октябрьское Поле,Таганско-Краснопресненская линия
112,7,Полежаевская,Таганско-Краснопресненская линия
113,7,Беговая,Таганско-Краснопресненская линия
114,7,Улица 1905 года,Таганско-Краснопресненская линия
115,7,Баррикадная,Таганско-Краснопресненская линия
116,7,Пушкинская,Таганско-Краснопресненская линия
117,7,Кузнецкий Мост,Таганско-Краснопресненская линия
118,7,Китай-город,Таганско-Краснопресненская линия
119,7,Таганская,Таганско-Краснопресненская линия
120,7,Пролетарская,Таганско-Краснопресненская линия
121,7,Волгоградский проспект,Таганско-Краснопресненская линия
122,7,Текстильщики,Таганско-Краснопресненская линия
123,7,Кузьминки,Таганско-Краснопресненская линия
124,7,Рязанский проспект,Таганско-Краснопресненская линия
125,7,Выхино,Таганско-Краснопресненская линия
126,8,Новогиреево,Калининско-Солнцевская линия
127,8,Перово,Калининско-Солнцевская линия
128,8,Шоссе Энтузиастов,Калининско-Солнцевская линия
129,8,Авиамоторная,Калининско-Солнцевская линия
130,8,Площадь Ильича,Калининско-Солнцевская линия
131,8,Марксистская,Калининско-Солнцевская линия
132,8,Третьяковская,Калининско-Солнцевская линия
133,9,Алтуфьево,Серпуховско-Тимирязевская линия
134,9,Бибирево,Серпуховско-Тимирязевская линия
135,9,Отрадное,Серпуховско-Тимирязевская линия
136,9,Владыкино,Серпуховско-Тимирязевская линия
137,9,Петровско-Разумовская,Серпуховско-Тимирязевская линия
138,9,Тимирязевская,Серпуховско-Тимирязевская линия
139,9,Дмитровская,Серпуховско-Тимирязевская линия
140,9,Савёловская,Серпуховско-Тимирязевская линия
141,9,Менделеевская,Серпуховско-Тимирязевская линия
142,9,Цветной бульвар,Серпуховско-Тимирязевская линия
143,9,Чеховская,Серпуховско-Тимирязевская линия
144,9,Боровицкая,Серпуховско-Тимирязевская линия
145,9,Полянка,Серпуховско-Тимирязевская линия
146,9,Серпуховская,Серпуховско-Тимирязевская линия
147,9,Тульская,Серпуховско-Тимирязевская линия
148,9,Нагатинская,Серпуховско-Тимирязевская линия
149,9,Нагорная,Серпуховско-Тимирязевская линия
150,9,Нахимовский проспект,Серпуховско-Тимирязевская линия
151,9,Севастопольская,Серпуховско-Тимирязевская линия
152,9,Чертановская,Серпуховско-Тимирязевская линия
153,9,Южная,Серпуховско-Тимирязевская линия
154,9,Пражская,Серпуховско-Тимирязевская линия
155,9,Улица Академика Янгеля,Серпуховско-Тимирязевская линия
156,9,Аннино,Серпуховско-Тимирязевская линия
157,9,Бульвар Дмитрия Донского,Серпуховско-Тимирязевская линия
158,10,Трубная,Люблинско-Дмитровская линия
159,10,Сретенский бульвар,Люблинско-Дмитровская линия
160,10,Чкаловская,Люблинско-Дмитровская линия
161,10,Римская,Люблинско-Дмитровская линия
162,10,Крестьянская Застава,Люблинско-Дмитровская линия
163,10,Дубровка,Люблинско-Дмитровская линия
164,10,Кожуховская,Люблинско-Дмитровская линия
165,10,Печатники,Люблинско-Дмитровская линия
166,10,Волжская,Люблинско-Дмитровская линия
167,10,Люблино,Люблинско-Дмитровская линия
168,10,Братиславская,Люблинско-Дмитровская линия
169,10,Марьино,Люблинско-Дмитровская линия
170,11,Каширская,Каховская линия
171,11,Варшавская,Каховская линия
172,11,Каховская,Каховская линия
173,12,Улица Старокачаловская,Бутовская линия
174,12,Улица Скобелевская,Бутовская линия
175,12,Бульвар Адмирала Ушакова,Бутовская линия
176,12,Улица Горчакова,Бутовская линия
177,12,Бунинская аллея,Бутовская линия
178,3,Мякинино,Арбатско-Покровская линия
179,3,Волоколамская,Арбатско-Покровская линия
180,3,Митино,Арбатско-Покровская линия
181,10,Марьина Роща,Люблинско-Дмитровская линия
182,10,Достоевская,Люблинско-Дмитровская линия
183,10,Борисово,Люблинско-Дмитровская линия
184,10,Шипиловская,Люблинско-Дмитровская линия
185,10,Зябликово,Люблинско-Дмитровская линия
186,8,Новокосино,Калининско-Солнцевская линия
187,2,Алма-Атинская,Замоскворецкая линия
188,3,Пятницкое шоссе,Арбатско-Покровская линия
189,7,Лермонтовский проспект,Таганско-Краснопресненская линия
190,7,Жулебино,Таганско-Краснопресненская линия
191,12,Битцевский парк,Бутовская линия
192,12,Лесопарковая,Бутовская линия
193,8,Шелепиха,Калининско-Солнцевская линия
194,8,Парк Победы,Калининско-Солнцевская линия
195,7,Спартак,Таганско-Краснопресненская линия
196,1,Тропарёво,Сокольническая линия
197,7,Котельники,Таганско-Краснопресненская линия
198,2,Технопарк,Замоскворецкая линия
199,1,Румянцево,Сокольническая линия
200,1,Саларьево,Сокольническая линия
201,14,Ботанический сад,Московское центральное кольцо
202,14,Владыкино,Московское центральное кольцо
203,14,Окружная,Московское центральное кольцо
204,14,Лихоборы,Московское центральное кольцо
205,14,Коптево,Московское центральное кольцо
206,14,Балтийская,Московское центральное кольцо
207,14,Стрешнево,Московское центральное кольцо
208,14,Панфиловская,Московское центральное кольцо
209,14,Зорге,Московское центральное кольцо
210,14,Хорошёво,Московское центральное кольцо
211,14,Шелепиха,Московское центральное кольцо
212,14,Деловой центр,Московское центральное кольцо
213,14,Кутузовская,Московское центральное кольцо
214,14,Лужники,Московское центральное кольцо
215,14,Площадь Гагарина,Московское центральное кольцо
216,14,Крымская,Московское центральное кольцо
217,14,Верхние Котлы,Московское центральное кольцо
218,14,ЗИЛ,Московское центральное кольцо
219,14,Автозаводская,Московское центральное кольцо
220,14,Дубровка,Московское центральное кольцо
221,14,Угрешская,Московское центральное кольцо
222,14,Новохохловская,Московское центральное кольцо
223,14,Нижегородская,Московское центральное кольцо
224,14,Андроновка,Московское центральное кольцо
225,14,Шоссе Энтузиастов,Московское центральное кольцо
226,14,Соколиная гора,Московское центральное кольцо
227,14,Измайлово,Московское центральное кольцо
228,14,Локомотив,Московское центральное кольцо
229,14,Бульвар Рокоссовского,Московское центральное кольцо
230,14,Белокаменная,Московское центральное кольцо
231,14,Ростокино,Московское центральное кольцо
232,10,Бутырская,Люблинско-Дмитровская линия
233,10,Фонвизинская,Люблинско-Дмитровская линия
234,10,Петровско-Разумовская,Люблинско-Дмитровская линия
235,8,Минская,Калининско-Солнцевская линия
236,8,Ломоносовский проспект,Калининско-Солнцевская линия
237,8,Раменки,Калининско-Солнцевская линия
238,15,Деловой центр,Большая кольцевая линия
239,15,Шелепиха,Большая кольцевая линия
240,15,Хорошёвская,Большая кольцевая линия
241,15,ЦСКА,Большая кольцевая линия
242,15,Петровский парк,Большая кольцевая линия
243,8,Хорошёвская,Калининско-Солнцевская линия
244,8,ЦСКА,Калининско-Солнцевская линия
245,8,Петровский парк,Калининско-Солнцевская линия
246,2,Ховрино,Замоскворецкая линия
247,10,Окружная,Люблинско-Дмитровская линия
248,10,Верхние Лихоборы,Люблинско-Дмитровская линия
249,10,Селигерская,Люблинско-Дмитровская линия
